,Country Name,Country Code,Year,Life Expectancy
620,Indonesia,IDN,2016,69.733
621,"Iran, Islamic Rep.",IRN,2016,76.155
622,Iraq,IRQ,2016,68.683
623,Ireland,IRL,2016,81.65365854
624,Isle of Man,IMN,2016,80.391
625,Israel,ISR,2016,82.40731707
626,Italy,ITA,2016,83.24390244
627,Jamaica,JAM,2016,72.052
628,Japan,JPN,2016,83.98487805
629,Jordan,JOR,2016,75.55
630,Kazakhstan,KAZ,2016,72.549
631,Kenya,KEN,2016,62.526
632,Kiribati,KIR,2016,65.799
633,"Korea, Dem. People's Rep.",PRK,2016,72.971
634,"Korea, Rep.",KOR,2016,82.27560976
635,Kosovo,XKX,2016,76.748
636,Kuwait,KWT,2016,79.67758537
637,Kyrgyz Republic,KGZ,2016,70.95121951
638,Lao PDR,LAO,2016,67.014
639,Latvia,LVA,2016,74.5804878
640,Lebanon,LBN,2016,78.306
641,Lesotho,LSO,2016,52.908
642,Liberia,LBR,2016,60.483
643,Libya,LBY,2016,71.799
644,Liechtenstein,LIE,2016,82.25853659
645,Lithuania,LTU,2016,74.67073171
646,Luxembourg,LUX,2016,82.68536585
647,"Macao SAR, China",MAC,2016,83.27560976
648,Madagascar,MDG,2016,63.431
649,Malawi,MWI,2016,63.163
650,Malaysia,MYS,2016,75.371
651,Maldives,MDV,2016,78.913
652,Mali,MLI,2016,58.286
653,Malta,MLT,2016,82.35365854
654,Marshall Islands,MHL,2016,65.477
655,Mauritania,MRT,2016,66.823
656,Mauritius,MUS,2016,74.39487805
657,Mexico,MEX,2016,74.376
658,"Micronesia, Fed. Sts.",FSM,2016,65.576
659,Moldova,MDA,2016,70.179
660,Monaco,MCO,2016,85.63
661,Mongolia,MNG,2016,70.22390244
662,Montenegro,MNE,2016,76.54146341
663,Morocco,MAR,2016,73.228
664,Mozambique,MOZ,2016,59.455
665,Myanmar,MMR,2016,65.64
666,Namibia,NAM,2016,60.81
